"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
1,10,33.5,33.5,30,1,1,2012-02-09,3,29.91,0,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4838067494055,33.5734678578989,33.868556884769,33.0433329144605,34.7515215926537,36.8516085872683,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,51.0568236403741,27.3500003814697,23.7068232589044,0.866794256974357,21.11,"Day","Winter Day"
2,10,33.5,33.5,30,0.1,1,2012-02-09,3,30.91,2.4495524824427,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4980041745928,33.5109414879271,33.5571564864551,33.4441397041265,33.7016672838443,34.0665764119549,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,35.9072072268488,27.3500003814697,8.55720684537903,0.312877759635307,21.11,"Day","Winter Day"
3,10,33.5,33.5,30,1,2,2012-02-09,3,32.89,0,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4631546346707,33.6258459902031,34.097171583503,32.8110287839532,34.9947191320442,37.5432385279796,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,60.9267883544157,27.3500003814697,33.576787972946,1.2276704754891,21.11,"Day","Winter Day"
4,10,33.5,33.5,30,0.1,2,2012-02-09,3,33.07,3.48931829524658,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4952521457614,33.52635508697,33.6287481432566,33.4082264548707,33.8334673578187,34.433484861503,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,37.7382902085191,27.3500003814697,10.3882898270494,0.379827776312855,21.11,"Day","Winter Day"
5,10,33.5,33.5,30,1,1,2014-02-19,3,33.04,1.38056958052123,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","Sheely",6.28538886184103,320,"Winter","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4864231326089,33.6038479248948,33.9946230505496,33.0829051967348,35.1748132345238,37.7713112813682,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,39.2140628676668,18.4500007629395,20.7640621047274,1.12542337377222,19.07,"Night","Winter Night"
6,10,33.5,33.5,30,0.1,1,2014-02-19,3,32.62,3.73738385237866,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","Sheely",6.28538886184103,320,"Winter","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.497856167102,33.5127254396356,33.5661688249026,33.440400414888,33.7327134967499,34.1443585832276,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.0178850604121,18.4500007629395,16.5678842974726,0.897988271672734,19.07,"Night","Winter Night"
7,10,33.5,33.5,30,1,2,2014-02-19,3,32.94,0.492220231269886,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","Sheely",6.28538886184103,320,"Winter","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4695285620503,33.6828361987308,34.3125314838658,32.8817944722746,35.5399928545361,38.6884514428913,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.5648079965355,18.4500007629395,17.1148072335961,0.92763179002001,19.07,"Night","Winter Night"
8,10,33.5,33.5,30,0.1,2,2014-02-19,3,32.52,3.46773571378831,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","Sheely",6.28538886184103,320,"Winter","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4949197314066,33.5303362340641,33.6475603564894,33.4024531420047,33.8810522867579,34.5517947561505,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.7131965823681,18.4500007629395,17.2631958194286,0.935674531466971,19.07,"Night","Winter Night"
9,10,33.5,33.5,30,1,1,2007-02-27,3,33.13,1.29678268342188,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4799599108867,33.5752347797257,33.8926139035153,32.9655383301403,34.8478445919015,37.2658001415558,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,53.364781360255,30.4500007629395,22.9147805973155,0.752537931795555,18.9186666666666,"Day","Winter Day"
10,10,33.5,33.5,30,0.1,1,2007-02-27,3,32.43,3.72844763818651,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4974695839823,33.5109981061867,33.5598875793985,33.4338031077318,33.7133635199054,34.1220481840689,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,36.2086899861922,30.4500007629395,5.7586892232527,0.189119509982462,18.9186666666666,"Day","Winter Day"
11,10,33.5,33.5,30,1,2,2007-02-27,3,32.77,0.534713615706385,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4539103697884,33.6256073097522,34.1296131092624,32.6846436252495,35.0858239188759,38.0222584349517,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,63.986608987607,30.4500007629395,33.5366082246676,1.10136641656459,18.9186666666666,"Day","Winter Day"
12,10,33.5,33.5,30,0.1,2,2007-02-27,3,32.22,3.44980041299443,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4940184604364,33.5265739370886,33.6351439682951,33.3910727616673,33.8514850161052,34.5212906119294,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,38.2477147177217,30.4500007629395,7.7977139547823,0.256082553675101,18.9186666666666,"Day","Winter Day"
13,10,33.5,33.5,30,1,1,2008-04-23,3,32.85,1.51946521388036,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4933179421737,33.7098923094183,34.4170549491693,33.2159936821323,36.6224337541976,40.9955842975425,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,46.6238554713959,25.1499996185303,21.4738558528656,0.853831259585542,22.23,"Night","Spring Night"
14,10,33.5,33.5,30,0.1,1,2008-04-23,3,32.42,3.59957894524506,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4991512105711,33.5305371557501,33.641274990893,33.4646317591536,33.9979815659697,34.7921019177849,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,36.986399937886,25.1499996185303,11.8364003193557,0.470632226595932,22.23,"Night","Spring Night"
15,10,33.5,33.5,30,1,2,2008-04-23,3,32.81,1.95190513853052,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4841736451501,33.8748632816929,35.0182121683762,33.0757462652611,37.3667635014204,42.6636676589769,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,43.0679790882148,25.1499996185303,17.9179794696845,0.712444522523281,22.23,"Night","Spring Night"
16,10,33.5,33.5,30,0.1,2,2008-04-23,3,32.66,3.25221650816663,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4978949904091,33.5718492892984,33.8139457098696,33.442479201148,34.3210459872365,35.6327240374901,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,38.8871908805015,25.1499996185303,13.7371912619712,0.546210396434751,22.23,"Night","Spring Night"
17,10,33.5,33.5,30,1,1,2007-05-02,3,32.53,1.89005994869096,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4969407275414,33.7689091820775,34.646591238976,33.3284905639759,37.3716754879006,42.4422906081949,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,67.5904830838188,47.3499984741211,20.2404846096977,0.42746536984072,30.58375,"Day","Spring Day"
18,10,33.5,33.5,30,0.1,1,2007-05-02,3,32.64,3.58197160717331,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4995785101755,33.5391296995759,33.6770048814075,33.4775599841944,34.1182271076685,35.0563684877828,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,38.993314849849,47.3499984741211,8.35668362427214,0.176487516231694,30.58375,"Day","Spring Day"
19,10,33.5,33.5,30,1,2,2007-05-02,3,33.06,2.27674587137113,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4929661334947,33.984920990394,35.4077066689129,33.2541271020921,38.3380411652234,44.4714757133824,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,80.5408866138748,47.3499984741211,33.1908881397537,0.700969149088654,30.58375,"Day","Spring Day"
20,10,33.5,33.5,30,0.1,2,2007-05-02,3,32.97,3.23795578445254,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","CW2674 Youngtown",6.43680082848531,320,"Spring","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4989319895575,33.5912902999558,33.8899061892445,33.4638032044369,34.5140761720225,36.0583893951679,2007-05-02 11:15:22,2007-05-02 11:15:30,7.88000011444092,42.7982330825608,47.3499984741211,4.55176539156025,0.0961302120009148,30.58375,"Day","Spring Day"
21,10,33.5,33.5,30,1,1,2018-06-22,3,32.37,2.46109022331684,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4976928635685,33.8131763016136,34.8416432972989,33.3558547633799,38.0545021659506,44.1090479317173,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,54.9560792359342,37.25,17.7060792359342,0.475330986199577,35.244,"Night","Summer Night"
22,10,33.5,33.5,30,0.1,1,2018-06-22,3,32.91,3.5434112874906,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.499683271728,33.5462014168636,33.7102743585234,33.4811078055784,34.2387880104683,35.3824638259287,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,38.9256507389467,37.25,1.67565073894673,0.0449839124549457,35.244,"Night","Summer Night"
23,10,33.5,33.5,30,1,2,2018-06-22,3,32.49,2.98389381172565,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4946097178669,34.0648974347768,35.736070203104,33.2931718979285,39.1909373761848,46.5115212096821,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,52.6139184385186,37.25,15.3639184385186,0.412454186268955,35.244,"Night","Summer Night"
24,10,33.5,33.5,30,0.1,2,2018-06-22,3,32.57,3.198764316207,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4991900828634,33.6075519938385,33.9624669355978,33.4696682673168,34.7069815457292,36.5800555826148,2018-06-22 22:36:37,2018-06-22 22:36:30,7.16900014877319,41.9256912235196,37.25,4.67569122351961,0.125521912040795,35.244,"Night","Summer Night"
25,10,33.5,33.5,30,1,1,2016-07-13,3,32.43,2.40707675213094,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4985413340478,33.8188439666607,34.8491292628456,33.3939027047683,38.0734888538888,44.0724149355969,2016-07-13 11:16:15,2016-07-13 11:16:30,14.5640001296997,71.7901567343466,56.3499984741211,15.4401582602255,0.274004590564745,38.305,"Day","Summer Day"
26,10,33.5,33.5,30,0.1,1,2016-07-13,3,32.4,3.5470312824409,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4998196107679,33.5476024429827,33.7134015756456,33.4870181617548,34.2475614456813,35.3836686442133,2016-07-13 11:16:15,2016-07-13 11:16:30,14.5640001296997,39.9441888116959,56.3499984741211,16.4058096624252,0.291141261875271,38.305,"Day","Summer Day"
27,10,33.5,33.5,30,1,2,2016-07-13,3,32.33,2.89889614079295,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4966170480377,34.074872474651,35.7464370574119,33.3502411709565,39.2189219072727,46.4709390226313,2016-07-13 11:16:15,2016-07-13 11:16:30,14.5640001296997,85.1164915482024,56.3499984741211,28.7664930740813,0.510496785324536,38.305,"Day","Summer Day"
28,10,33.5,33.5,30,0.1,2,2016-07-13,3,32.32,3.20272245497926,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","Sheely",6.28538886184103,320,"Summer","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4995311370153,33.6106282650007,33.9688025409026,33.4792777994266,34.7224293264816,36.585287067712,2016-07-13 11:16:15,2016-07-13 11:16:30,14.5640001296997,44.2911142917002,56.3499984741211,12.0588841824209,0.213999725092433,38.305,"Day","Summer Day"
29,10,33.5,33.5,30,1,1,2015-07-27,3,32.62,2.34485540425648,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.498380114955,33.8121088577197,34.8255208167298,33.3866128691975,37.9954819470844,43.8865586172687,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,71.1448257473446,58.8499984741211,12.2948272732235,0.208918055938948,36.835,"Day","Summer Day"
30,10,33.5,33.5,30,0.1,1,2015-07-27,3,33.03,3.55223002904834,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4997941092026,33.5463831947598,33.7089012637815,33.4858799350238,34.2324091670461,35.3458277449093,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,39.8113499418565,58.8499984741211,19.0386485322646,0.323511453286387,36.835,"Day","Summer Day"
31,10,33.5,33.5,30,1,2,2015-07-27,3,33.45,2.80695800772537,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4962128623955,34.0631913995026,35.7090414722535,33.3386629672012,39.1235604374272,46.2488381915513,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,84.3554639310105,58.8499984741211,25.5054654568894,0.433397894956705,36.835,"Day","Summer Day"
32,10,33.5,33.5,30,0.1,2,2015-07-27,3,32.88,3.20860424411876,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.499464175646,33.6080255844716,33.9598424357204,33.4773390255061,34.6993012358334,36.5268709146579,2015-07-27 11:16:32,2015-07-27 11:16:30,2.98600006103516,44.0750496264271,58.8499984741211,14.774948847694,0.251061159401579,36.835,"Day","Summer Day"
33,10,33.5,33.5,30,1,1,2014-07-29,3,32.73,2.42458446666837,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4987304427054,33.8120710800257,34.83057515032,33.4053164436002,38.026883738898,44.0489142513094,2014-07-29 22:35:14,2014-07-29 22:35:00,14.4520001411438,55.1552738243574,38.4500007629395,16.705273061418,0.434467431207949,34.46,"Night","Summer Night"
34,10,33.5,33.5,30,0.1,1,2014-07-29,3,32.53,3.55739121687799,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4998080062879,33.5454357919359,33.7060830174824,33.4868330634491,34.2260722785063,35.3563368101929,2014-07-29 22:35:14,2014-07-29 22:35:00,14.4520001411438,38.8826103292553,38.4500007629395,0.432609566315875,0.0112512238681891,34.46,"Night","Summer Night"
35,10,33.5,33.5,30,1,2,2014-07-29,3,32.67,2.85880162152702,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4970198370785,34.0648602662649,35.725416654147,33.3656828524049,39.1761854499559,46.4737961355585,2014-07-29 22:35:14,2014-07-29 22:35:00,14.4520001411438,53.1418034302152,38.4500007629395,14.6918026672757,0.382101492217306,34.46,"Night","Summer Night"
36,10,33.5,33.5,30,0.1,2,2014-07-29,3,32.66,3.2207260687712,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4995034354165,33.6058988861586,33.9543786965729,33.4789666257619,34.6892045742137,36.547962990998,2014-07-29 22:35:14,2014-07-29 22:35:00,14.4520001411438,41.9042758872433,38.4500007629395,3.45427512430382,0.0898381028806967,34.46,"Night","Summer Night"
37,10,33.5,33.5,30,1,1,2014-08-30,3,32.82,1.95286549395388,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4983407159355,33.7808723568386,34.6900832002701,33.3867365049261,37.5239067662874,42.7812584918353,2014-08-30 22:35:36,2014-08-30 22:35:30,6.87100005149841,51.2262862528709,37.8499984741211,13.3762877787498,0.353402597569335,29.735,"Night","Summer Night"
38,10,33.5,33.5,30,0.1,1,2014-08-30,3,32.85,3.57552621043694,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4997764507991,33.541329053956,33.6858935635036,33.4853304891394,34.1500746884896,35.1358526127746,2014-08-30 22:35:36,2014-08-30 22:35:30,6.87100005149841,38.0449779092894,37.8499984741211,0.194979435168307,0.00515137233893467,29.735,"Night","Summer Night"
39,10,33.5,33.5,30,1,2,2014-08-30,3,33.35,2.28141408697977,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4961863926702,34.0076486833111,35.4847544537894,33.3402212819162,38.5410042165893,44.9051981750637,2014-08-30 22:35:36,2014-08-30 22:35:30,6.87100005149841,48.6884914235107,37.8499984741211,10.8384929493896,0.286353854328426,29.735,"Night","Summer Night"
40,10,33.5,33.5,30,0.1,2,2014-08-30,3,33.45,3.23138632184214,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","wx7wx Glendale",2.98257109888671,320,"Summer","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4994217093787,33.5963574907137,33.9096593156847,33.4764626572826,34.566652536835,36.1893973856764,2014-08-30 22:35:36,2014-08-30 22:35:30,6.87100005149841,40.5942012171909,37.8499984741211,2.74420274306976,0.0725020569009015,29.735,"Night","Summer Night"
41,10,33.5,33.5,30,1,1,2014-10-01,3,32.98,1.33236281227128,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","wx7wx Glendale",2.98257109888671,320,"Fall","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4944289797229,33.6820600843513,34.2898021330405,33.2572666826161,36.1660778682102,39.8484573544067,2014-10-01 22:35:33,2014-10-01 22:35:30,3.52099990844727,43.7603570618011,27.1499996185303,16.6103574432709,0.611799546101431,21.955,"Night","Fall Night"
42,10,33.5,33.5,30,0.1,1,2014-10-01,3,32.94,3.66306343821094,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","wx7wx Glendale",2.98257109888671,320,"Fall","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4992385492945,33.5254842784107,33.6175245258621,33.4682498812774,33.9105971392804,34.559834449804,2014-10-01 22:35:33,2014-10-01 22:35:30,3.52099990844727,36.2233234943304,27.1499996185303,9.0733238758001,0.334192412643992,21.955,"Night","Fall Night"
43,10,33.5,33.5,30,1,2,2014-10-01,3,33.14,1.15918879675491,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","wx7wx Glendale",2.98257109888671,320,"Fall","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.4873235346976,33.8275844545229,34.8125492695854,33.1473232629188,36.8222542048912,41.2978724093459,2014-10-01 22:35:33,2014-10-01 22:35:30,3.52099990844727,40.5842279927941,27.1499996185303,13.4342283742639,0.494815048361724,21.955,"Night","Fall Night"
44,10,33.5,33.5,30,0.1,2,2014-10-01,3,32.51,3.35222974303676,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Low TI","A6","wx7wx Glendale",2.98257109888671,320,"Fall","surface",0.14,1.2,2200,850,0.15,0.9,0,0.34,2.7,4600,1650,"base",0.2,1.5,2400,800,NA,NA,0,33.49811233898,33.5597088521035,33.7596684752971,33.4484171389425,34.174259992424,35.2412159219087,2014-10-01 22:35:33,2014-10-01 22:35:30,3.52099990844727,37.6619490471988,27.1499996185303,10.5119494286685,0.387180463217906,21.955,"Night","Fall Night"
45,10,33.5,33.5,30,1,1,2012-10-22,3,33.27,1.39360957977322,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt High TI","A6","wx7wx Glendale",2.98257109888671,320,"Fall","surface",0.14,2.2,2500,1400,0.15,0.9,0,0.34,5.2,4800,2350,"base",0.2,3,2300,950,NA,NA,0,33.4928077631265,33.6466207083709,34.1500379542688,33.2200041461828,35.6979988657306,38.8020219148345,2012-10-22 11:14:51,2012-10-22 11:15:00,8.20900011062622,57.6547534917888,37.5499992370605,20.1047542547283,0.5354129071429,24.348,"Day","Fall Day"
